OA Code,Ward Name,LA Name,Region Name,QS112EW0002,QS112EW0001 (base),OA Percentage
E00116541,Hayling East,Havant,South East,73,472,15.4700,
E00116641,St Faith's,Havant,South East,41,320,12.8100,
E00116589,Hayling West,Havant,South East,33,306,10.7800,
E00116582,Hayling West,Havant,South East,37,314,11.7800,
E00116591,Hayling West,Havant,South East,53,294,18.0300,
E00116580,Hayling West,Havant,South East,28,258,10.8500,
E00116583,Hayling West,Havant,South East,23,318,7.2300,
E00116572,Hayling West,Havant,South East,36,303,11.8800,
E00116599,Hayling West,Havant,South East,99,295,33.5600,
E00116566,Hayling East,Havant,South East,25,228,10.9600,
E00116554,Hayling East,Havant,South East,52,218,23.8500,
E00116551,Hayling East,Havant,South East,72,388,18.5600,
E00116577,Hayling West,Havant,South East,24,343,7.0000,
E00116556,Hayling East,Havant,South East,49,258,18.9900,
E00116543,Hayling East,Havant,South East,72,474,15.1900,
E00116550,Hayling East,Havant,South East,27,427,6.3200,
E00116595,Hayling West,Havant,South East,54,187,28.8800,
E00116597,Hayling West,Havant,South East,63,206,30.5800,
E00116584,Hayling West,Havant,South East,26,310,8.3900,
E00116586,Hayling West,Havant,South East,47,317,14.8300,
E00116598,Hayling West,Havant,South East,64,252,25.4000,
E00116553,Hayling East,Havant,South East,37,267,13.8600,
E00116546,Hayling East,Havant,South East,65,318,20.4400,
E00116571,Hayling West,Havant,South East,32,277,11.5500,
E00116549,Hayling East,Havant,South East,21,133,15.7900,
E00116552,Hayling East,Havant,South East,27,351,7.6900,
E00116548,Hayling East,Havant,South East,19,219,8.6800,
E00116575,Hayling West,Havant,South East,38,283,13.4300,
E00116408,Bedhampton,Havant,South East,28,350,8.0000,
E00115683,Portchester East,Fareham,South East,27,353,7.6500,
E00115684,Portchester East,Fareham,South East,39,337,11.5700,
E00116585,Hayling West,Havant,South East,37,253,14.6200,
E00116562,Hayling East,Havant,South East,37,312,11.8600,
E00116561,Hayling East,Havant,South East,30,321,9.3500,
E00116559,Hayling East,Havant,South East,35,314,11.1500,
E00116593,Hayling West,Havant,South East,48,279,17.2000,
E00116558,Hayling East,Havant,South East,23,222,10.3600,
E00116579,Hayling West,Havant,South East,47,283,16.6100,
E00116542,Hayling East,Havant,South East,28,263,10.6500,
E00116592,Hayling West,Havant,South East,26,289,9.0000,
E00116594,Hayling West,Havant,South East,40,226,17.7000,
E00116587,Hayling West,Havant,South East,40,269,14.8700,
E00116578,Hayling West,Havant,South East,19,328,5.7900,
E00116588,Hayling West,Havant,South East,37,288,12.8500,
E00116581,Hayling West,Havant,South East,31,282,10.9900,
E00116596,Hayling West,Havant,South East,81,259,31.2700,
E00116590,Hayling West,Havant,South East,25,275,9.0900,
E00116635,St Faith's,Havant,South East,32,321,9.9700,
E00116637,St Faith's,Havant,South East,48,316,15.1900,
E00116573,Hayling West,Havant,South East,65,255,25.4900,
E00116560,Hayling East,Havant,South East,43,201,21.3900,
E00116567,Hayling East,Havant,South East,33,294,11.2200,
E00116563,Hayling East,Havant,South East,55,281,19.5700,
E00116544,Hayling East,Havant,South East,56,302,18.5400,
E00116555,Hayling East,Havant,South East,59,248,23.7900,
E00116570,Hayling East,Havant,South East,29,220,13.1800,
E00116557,Hayling East,Havant,South East,50,293,17.0600,
E00116574,Hayling West,Havant,South East,28,309,9.0600,
E00116576,Hayling West,Havant,South East,27,284,9.5100,
E00116039,Peel Common,Gosport,South East,30,249,12.0500,
E00115961,Grange,Gosport,South East,12,433,2.7700,
E00115958,Grange,Gosport,South East,45,309,14.5600,
E00115973,Grange,Gosport,South East,39,296,13.1800,
E00115970,Grange,Gosport,South East,25,256,9.7700,
E00168150,Hardway,Gosport,South East,52,277,18.7700,
E00116022,Leesland,Gosport,South East,38,350,10.8600,
E00116025,Leesland,Gosport,South East,84,172,48.8400,
E00115906,Brockhurst,Gosport,South East,17,288,5.9000,
E00115916,Christchurch,Gosport,South East,45,343,13.1200,
E00115865,Anglesey,Gosport,South East,72,244,29.5100,
E00116048,Privett,Gosport,South East,31,276,11.2300,
E00115987,Hardway,Gosport,South East,31,290,10.6900,
E00115892,Bridgemary South,Gosport,South East,37,354,10.4500,
